Artist,Song Name,Song Rating,Song Hits,Page Type,Difficulty,Key,Capo,Tuning
Maroon 5,Wont Go Home Without You,705,"1,412,739",Chords,intermediate,Db, 3rd fre, E A D G B E
Chris Tomlin,Shout To The Lord,"1,031","1,412,827",Chords,intermediate, A, 5th fret, E A D G B E
ZZ Top,Tube Snake Boogie,26,"1,412,186",Tab,intermediate,Db,No Capo,E A D G B E
Elton John,Your Song ,"1,502","1,408,793",Chords,intermediate,Db, 1st fre, E A D G B E
ZZ Top,My Heads In Mississippi Intro,14,"1,408,236",Tab,intermediate,Db,No Capo, E A D G B 
Naif,Benci Untuk Mencinta,210,"1,407,330",Chords,intermediate, D,No Capo, E A D G B E
Katy Perry,Teenage Dream,298,"1,406,945",Chords,intermediate,Db, 3rd fre, E A D G B E
ZZ Top,Beer Drinkers And Hell Raisers,23,"1,406,368",Chords,intermediate,Db,No Capo,E A D G B E
Weezer,Weezer Album,9,"1,406,306",Tab,intermediate,Db,No Capo,E A D G B E
Misc Soundtrack,Mission Impossible 2 - Nyah,7,"1,406,081",Tab,intermediate,Db,No Capo, E A D G B 
Radiohead,Fake Plastic Trees ,"2,448","1,406,413",Chords,intermediate, A,No Capo, E A D G B E
Yes,Long Distance Runaround,17,"1,405,613",Bass,intermediate,Db,No Capo,E A D G B E
